Level,question,answer
Easy,What is the time complexity of a stack push operation?,The time complexity of a stack push operation is O(1).
Easy,Explain the concept of a hash set.,A hash set is a collection of unique elements implemented using a hash table providing average O(1) time complexity for insertion deletion and lookup operations.
Easy,What is the time complexity of depth-first search?,The time complexity of depth-first search is O(V + E) where V is the number of vertices and E is the number of edges.
Easy,What is the use of a priority queue in Dijkstra's algorithm?,A priority queue is used in Dijkstra's algorithm to efficiently select the next vertex to process based on the shortest known distance.
Easy,What is the difference between a singly linked list and a doubly linked list?,A singly linked list has nodes with a reference to the next node only while a doubly linked list has nodes with references to both the next and previous nodes.
Easy,Explain the concept of a deque.,A deque (double-ended queue) is a data structure that allows elements to be added or removed from both ends.
Easy,What is the time complexity of breadth-first search?,The time complexity of breadth-first search is O(V + E) where V is the number of vertices and E is the number of edges.
Easy,What is a self-balancing tree?,A self-balancing tree is a binary search tree that automatically keeps its height as small as possible by performing rotations when nodes are added or removed.
Easy,What is the time complexity of merge sort?,The time complexity of merge sort is O(n log n) in all cases.
Easy,Explain the concept of dynamic programming.,Dynamic programming is an optimization technique that solves problems by breaking them down into simpler subproblems and storing the results of these subproblems to avoid redundant calculations.
Easy,What is a binary heap?,A binary heap is a complete binary tree that satisfies the heap property: in a max heap every parent node has a value greater than or equal to its children; in a min heap every parent node has a value less than or equal to its children.
Easy,What is the difference between quicksort and mergesort?,Quicksort is an in-place sorting algorithm with average time complexity O(n log n) but has a worst-case time complexity of O(n^2). Mergesort on the other hand has a consistent time complexity of O(n log n) but requires additional space.
Easy,Explain the concept of memoization.,Memoization is a technique in dynamic programming where the results of expensive function calls are stored and reused when the same inputs occur again reducing the overall time complexity.
Easy,What is the time complexity of heap sort?,The time complexity of heap sort is O(n log n) in all cases.
Easy,Explain the Floyd-Warshall algorithm.,The Floyd-Warshall algorithm is a dynamic programming algorithm that finds the shortest paths between all pairs of vertices in a weighted graph.
Easy,What is the difference between BFS and DFS?,BFS (Breadth-First Search) explores all neighbors at the current depth level before moving on to the next level while DFS (Depth-First Search) explores as far as possible along each branch before backtracking.
Easy,How does a binary search tree (BST) work?,A binary search tree is a binary tree where each node has a value greater than all nodes in its left subtree and less than all nodes in its right subtree.
Easy,What is a hash collision?,A hash collision occurs when two distinct keys hash to the same index in a hash table leading to a conflict that must be resolved using techniques like chaining or open addressing.
Easy,What is a graph adjacency list?,An adjacency list is a collection of unordered lists used to represent a finite graph with each list corresponding to a vertex and containing a list of its adjacent vertices.
Medium,Explain the concept of backtracking.,Backtracking is an algorithmic technique for solving problems incrementally trying out partial solutions and then abandoning them if they are not suitable 
Medium,What is the difference between a stack and a queue?,A stack is a LIFO (Last In First Out) data structure where the last element added is the first to be removed. A queue is a FIFO (First In First Out) data structure where the first element added is the first to be removed.
Medium,What is an AVL tree?,An AVL tree is a self-balancing binary search tree where the difference in heights between the left and right subtrees of any node is at most one.
Medium,Explain Kruskal's algorithm.,Kruskal's algorithm is a greedy algorithm that finds the minimum spanning tree for a connected weighted graph by adding edges in ascending order of weight without forming any cycles.
Medium,What is a trie?,A trie is a type of search tree used to store a dynamic set or associative array where the keys are usually strings. It is especially efficient for searching prefixes.
Medium,What is a circular linked list?,A circular linked list is a linked list where the last node points back to the first node creating a loop.
Medium,Explain Bellman-Ford algorithm.,The Bellman-Ford algorithm computes the shortest paths from a single source vertex to all other vertices in a weighted graph even if the graph contains negative weight edges.
Medium,What is the difference between Prim's and Kruskal's algorithms?,Prim's algorithm builds the minimum spanning tree by adding vertices while Kruskal's algorithm builds it by adding edges. Prim's algorithm is usually more efficient for dense graphs while Kruskal's is better for sparse graphs.
Medium,What is the time complexity of Dijkstra's algorithm?,The time complexity of Dijkstra's algorithm is O((V + E) log V) where V is the number of vertices and E is the number of edges.
Medium,Explain the concept of divide and conquer.,Divide and conquer is an algorithmic paradigm where a problem is divided into smaller subproblems that are solved independently and then combined to form the final solution.
Medium,What is a disjoint-set (union-find) data structure?,A disjoint-set is a data structure that keeps track of a partition of a set into disjoint (non-overlapping) subsets providing efficient operations for union and find.
Medium,What is the difference between a binary search tree and a binary heap?,A binary search tree is ordered by the binary search property (left subtree has smaller elements right subtree has larger elements) while a binary heap is ordered by the heap property (parent nodes are greater or smaller than their children).
Medium,Explain the concept of memoization in dynamic programming.,Memoization in dynamic programming involves storing the results of expensive function calls and reusing the cached result when the same inputs occur again avoiding redundant calculations.
Medium,What is the time complexity of matrix multiplication using Strassen's algorithm?,The time complexity of matrix multiplication using Strassen's algorithm is O(n^2.81) which is faster than the standard O(n^3) complexity.
Medium,What is the A* search algorithm?,The A* search algorithm is a pathfinding and graph traversal algorithm that finds the shortest path between two points using a heuristic to guide its search.
Medium,Explain the concept of greedy algorithms.,A greedy algorithm makes the locally optimal choice at each step with the hope of finding a global optimum. It is used in problems like finding the minimum spanning tree or the shortest path.
Medium,What is a segment tree?,A segment tree is a binary tree used for storing intervals or segments allowing efficient queries and updates of ranges such as finding the sum or minimum in a range.
Medium,Explain the knapsack problem.,The knapsack problem is an optimization problem where the goal is to maximize the total value of items packed into a knapsack without exceeding its capacity.
Medium,What is the difference between Floyd-Warshall and Dijkstra's algorithms?,Floyd-Warshall finds the shortest paths between all pairs of vertices while Dijkstra's algorithm finds the shortest path from a single source vertex to all other vertices.
Medium,Explain the concept of a priority queue.,A priority queue is an abstract data type where each element is associated with a priority and elements with higher priorities are dequeued before elements with lower priorities.
Medium,What is the time complexity of counting sort?,The time complexity of counting sort is O(n + k) where n is the number of elements and k is the range of input values.
Medium,What is a B-tree?,A B-tree is a self-balancing tree data structure that maintains sorted data and allows for efficient insertion deletion and search operations particularly useful in databases and file systems.
Medium,Explain the concept of a greedy choice property.,The greedy choice property states that a global optimum can be reached by selecting the local optimum at each step. This property is crucial for a problem to be solved by a greedy algorithm.
Medium,What is the time complexity of inserting an element into a B-tree?,The time complexity of inserting an element into a B-tree is O(log n).
Medium,Explain the concept of hashing.,Hashing is the process of mapping large input data to a smaller fixed size value (hash code) using a hash function typically used in hash tables for fast data retrieval.
Medium,What is the time complexity of removing an element from a binary search tree?,The time complexity of removing an element from a binary search tree is O(h) where h is the height of the tree.
Medium,Explain the concept of a strongly connected component.,A strongly connected component (SCC) is a subgraph of a directed graph where there is a path from each vertex to every other vertex in the subgraph.
Medium,What is the time complexity of the Bellman-Ford algorithm?,The time complexity of the Bellman-Ford algorithm is O(VE) where V is the number of vertices and E is the number of edges.
Medium,Explain the concept of a suffix tree.,A suffix tree is a compressed trie used to store all suffixes of a given string allowing for efficient searching of substrings.
Medium,What is a minimum spanning tree?,A minimum spanning tree is a subset of the edges of a connected weighted graph that connects all the vertices together without any cycles and with the minimum possible total edge weight.
Medium,Explain the Rabin-Karp algorithm.,The Rabin-Karp algorithm is a string-searching algorithm that uses hashing to find an exact match of a pattern string in a text.
Medium,What is a balanced binary tree?,A balanced binary tree is a binary tree where the height of the left and right subtrees of every node differs by at most one ensuring that the tree remains approximately balanced.
Medium,What is the time complexity of Prim's algorithm?,The time complexity of Prim's algorithm is O(E log V) using a priority queue where E is the number of edges and V is the number of vertices.
Medium,Explain the Boyer-Moore string search algorithm.,The Boyer-Moore algorithm is an efficient string searching algorithm that skips sections of the text rather than checking every character by using information gathered during the preprocessing phase.
Medium,What is a 2-3 tree?,A 2-3 tree is a type of balanced search tree where every node has either two or three children and every internal node has two or three children used in B-trees and for
Medium,Explain the concept of a segment tree with lazy propagation.,A segment tree with lazy propagation is a data structure that allows efficient range queries and updates on an array. Lazy propagation helps to delay updates to segments until necessary reducing the number of updates required.
Medium,What is a Fibonacci heap?,A Fibonacci heap is a data structure for priority queue operations that allows for faster amortized time complexity for decrease-key and merge operations compared to binary heaps.
Medium,Describe the Kahn's algorithm for topological sorting.,Kahn's algorithm is a method for topological sorting of a directed acyclic graph (DAG) that repeatedly removes nodes with no incoming edges and updates the in-degrees of their neighbors.
Medium,Explain the concept of a B+ tree.,A B+ tree is a self-balancing tree data structure in which all values are found at the leaf level and internal nodes only store keys to guide searches commonly used in databases and filesystems.
Medium,How does the A* algorithm work?,The A* algorithm finds the shortest path between nodes by using a heuristic to estimate the cost from the current node to the goal combining this estimate with the cost to reach the current node.
Medium,What is a Red-Black Tree?,A Red-Black Tree is a self-balancing binary search tree where each node has an additional color attribute (red or black) to ensure that the tree remains balanced and maintains logarithmic height.
Medium,Explain the concept of an Interval Tree.,An Interval Tree is a data structure used to manage intervals and perform queries to find all intervals that overlap with a given interval or point useful in applications like scheduling and computational geometry.
Medium,What is a Van Emde Boas Tree?,A Van Emde Boas Tree is a data structure that supports operations on a universe of integers with very low time complexity such as insertion deletion and predecessor/successor queries typically used for integer sets.
Medium,Describe the concept of a Trie and its applications.,A Trie is a tree-like data structure used to store strings in a way that allows efficient retrieval of prefixes. It is commonly used in applications like autocomplete and spell-checking.
Medium,How does the Knuth-Morris-Pratt (KMP) algorithm work?,The KMP algorithm searches for occurrences of a word within a text by preprocessing the word to create a partial match table allowing the search to skip redundant comparisons.
Medium,Explain the concept of Strongly Connected Components (SCC) and how Tarjan's algorithm finds them.,Strongly Connected Components (SCCs) are subgraphs in a directed graph where every node is reachable from every other node. Tarjan's algorithm uses depth-first search to find SCCs efficiently using a stack and low-link values.
Medium,What is a Suffix Array?,A Suffix Array is a data structure that provides an efficient way to perform substring searches and other operations by storing the starting positions of suffixes of a string in sorted order.
Medium,Describe the concept of a Bloom Filter and its trade-offs.,A Bloom Filter is a probabilistic data structure used to test membership in a set with a risk of false positives but no false negatives. It uses multiple hash functions to reduce space complexity at the cost of some accuracy.
Medium,How does the Hopcroft-Karp algorithm find maximum bipartite matchings?,The Hopcroft-Karp algorithm finds maximum matchings in bipartite graphs using alternating paths and augmenting paths to improve the matching size iteratively.
Medium,Explain the concept of a Cartesian Tree.,A Cartesian Tree is a binary tree derived from an array where the tree is a heap in terms of values and the in-order traversal of the tree gives the original array in sorted order.
Hard,What is a Segment Tree with Range Minimum Query (RMQ)?,A Segment Tree with RMQ allows for efficient querying of the minimum value in a range of an array and supports updates to array elements with logarithmic time complexity.
Hard,How does the Edmonds-Karp algorithm solve the Maximum Flow problem?,The Edmonds-Karp algorithm is an implementation of the Ford-Fulkerson method for computing maximum flow in a flow network using breadth-first search to find augmenting paths.
Hard,Explain the concept of a Suffix Tree and its applications.,A Suffix Tree is a compressed trie that contains all suffixes of a given string allowing for fast substring searches pattern matching and other string processing operations.
Hard,What is the difference between an Eulerian Path and an Eulerian Circuit?,An Eulerian Path is a path in a graph that visits every edge exactly once while an Eulerian Circuit is a cycle that visits every edge exactly once and returns to the starting vertex.
Hard,Describe the concept of a Treap.,A Treap is a data structure that combines binary search tree properties with heap properties where nodes are ordered by both their key and a priority value to maintain balanced search times.
Hard,How does the Rabin-Karp algorithm work for pattern matching?,The Rabin-Karp algorithm uses hashing to quickly find occurrences of a pattern in a text by computing hash values for substrings and comparing them with the hash of the pattern.
Hard,Explain the concept of a Fenwick Tree (Binary Indexed Tree).,A Fenwick Tree or Binary Indexed Tree is a data structure that supports efficient prefix sum queries and updates allowing for logarithmic time complexity operations on arrays.
Hard,What is the purpose of the Suffix Automaton?,A Suffix Automaton is a state machine used to represent all substrings of a string allowing for efficient pattern matching and substring queries.
Hard,Describe the concept of a 2D Segment Tree.,A 2D Segment Tree is an extension of the segment tree used to handle two-dimensional range queries and updates such as finding the sum of elements in a rectangular region of a matrix.
Hard,How does the Boyer-Moore algorithm improve pattern matching?,The Boyer-Moore algorithm improves pattern matching by using information about the mismatched character to skip sections of the text making it more efficient than naive search algorithms.
Hard,Explain the concept of a Link/Cut Tree.,A Link/Cut Tree is a data structure used to manage dynamic trees and efficiently perform link and cut operations maintaining tree properties and supporting operations like path queries and updates.
Hard,What is a Dynamic Programming approach to solving the Longest Common Subsequence (LCS) problem?,The Dynamic Programming approach to LCS involves constructing a table to store lengths of longest common subsequences between all pairs of prefixes of the two input sequences.
Hard,How does the Ford-Fulkerson method work for solving the Maximum Flow problem?,The Ford-Fulkerson method computes maximum flow in a flow network by repeatedly finding augmenting paths and adjusting flows until no more augmenting paths are found.
Hard,Explain the concept of a Persistent Data Structure.,A Persistent Data Structure is one where previous versions of the data structure are preserved after modifications allowing access to past versions without requiring full copies.
Hard,How does the Aho-Corasick algorithm work for multiple pattern matching?,The Aho-Corasick algorithm uses a finite state machine to search for multiple patterns simultaneously by preprocessing the patterns into a trie with failure links for efficient matching.
Hard,What is a K-d Tree?,A K-d Tree is a binary search tree used for organizing points in a k-dimensional space allowing efficient range queries and nearest neighbor searches.
Hard,Explain the concept of a Topological Sort using DFS.,Topological Sort using DFS involves performing a depth-first search on a directed acyclic graph (DAG) and pushing nodes onto a stack after visiting all their descendants resulting in a topological ordering when the stack is popped.
Hard,What is a Hopcroft-Karp algorithm used for?,The Hopcroft-Karp algorithm is used for finding maximum cardinality matchings in bipartite graphs by using augmenting paths and improving the matching size iteratively.
Hard,Describe the concept of a Non-Deterministic Finite Automaton (NFA).,A Non-Deterministic Finite Automaton (NFA) is a theoretical machine used in computer science to recognize regular languages allowing for multiple transitions for the same input and epsilon (empty string) transitions.
Hard,How does the Graham Scan algorithm work for Convex Hull computation?,The Graham Scan algorithm computes the convex hull of a set of points by sorting the points by polar angle and then constructing the hull by iterating through the sorted points and maintaining a stack of hull vertices.
Hard,Explain the concept of a 2-4 Tree.,A 2-4 Tree is a type of balanced search tree where each node can have 2 3 or 4 children ensuring that all leaf nodes are at the same level and maintaining balanced search and insertion operations.
Hard,What is the time complexity of the LRU (Least Recently Used) cache implementation?,The time complexity of LRU cache operations (get and put) is O(1) when implemented using a combination of a hash map and a doubly linked list.
Hard,Describe the concept of a Priority Queue and its implementation using a heap.,A Priority Queue is an abstract data type that supports operations based on element priorities. It is often implemented using a heap data structure which allows efficient retrieval and modification of the highest or lowest priority elements.
Hard,How does the Edmonds-Karp algorithm improve upon the Ford-Fulkerson method?,The Edmonds-Karp algorithm improves upon the Ford-Fulkerson method by using breadth-first search to find the shortest augmenting paths ensuring that the number of augmenting paths is bounded and providing polynomial time complexity.
Hard,Explain the concept of a Treap and its properties.,A Treap is a randomized binary search tree where each node has a key and a priority and the tree maintains binary search tree properties for keys and heap properties for priorities ensuring balance with high probability.
Hard,What is the time complexity of a segment tree query operation?,The time complexity of a segment tree query operation is O(log n) where n is the number of elements in the array being queried.
Hard,Describe the concept of a Binary Indexed Tree (BIT) and its operations.,A Binary Indexed Tree (BIT) or Fenwick Tree is a data structure that supports efficient prefix sum queries and updates with operations having a time complexity of O(log n) for both updates and queries.
Hard,What is the purpose of the Knapsack Problem and its variations?,The Knapsack Problem involves selecting items with given weights and values to maximize the total value without exceeding a weight limit. Variations include 0/1 Knapsack Fractional Knapsack and bounded Knapsack.
Hard,How does the Bellman-Ford algorithm handle negative weight edges?,The Bellman-Ford algorithm finds the shortest paths from a single source to all other vertices in a graph with negative weight edges detecting negative weight cycles in the process.
Hard,Explain the concept of an AVL Tree and its rotations.,An AVL Tree is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1. Rotations (left right left-right and right-left) are used to maintain balance after insertions and deletions.
Hard,How does the Boyer-Moore algorithm optimize pattern matching?,The Boyer-Moore algorithm optimizes pattern matching by using preprocessing of the pattern to create shift tables that allow skipping portions of the text based on mismatches reducing the number of comparisons.
Hard,Describe the concept of a Union-Find data structure.,A Union-Find data structure (or Disjoint Set Union) supports efficient union and find operations on a set of disjoint subsets often used in network connectivity and Kruskal's algorithm for minimum spanning trees.
Hard,What is the purpose of the Aho-Corasick algorithm?,The Aho-Corasick algorithm is used for matching multiple patterns simultaneously within a text by constructing a trie with failure links that allow efficient multi-pattern search.
Hard,Explain the concept of a Randomized Binary Search Tree.,A Randomized Binary Search Tree (or Treap) combines binary search tree properties with heap properties using random priorities to maintain balanced tree structure with high probability.
Hard,How does the Dijkstra's algorithm find the shortest path in a graph?,Dijkstra's algorithm finds the shortest path from a source node to all other nodes in a graph with non-negative edge weights by iteratively selecting the node with the smallest tentative distance and updating distances to its neighbors.
Hard,Describe the concept of a Segment Tree with Lazy Propagation.,A Segment Tree with Lazy Propagation is an extension of the segment tree that allows efficient range updates and queries by deferring updates to segments until necessary reducing time complexity for range operations.
Hard,How does the Tarjan's algorithm find strongly connected components (SCCs)?,Tarjan's algorithm finds SCCs using depth-first search and maintains a stack of nodes along with low-link values to identify and group nodes into SCCs.
Hard,Explain the concept of the Gale-Shapley algorithm for stable matching.,The Gale-Shapley algorithm also known as the Deferred Acceptance algorithm finds a stable matching between two sets of elements such as students and schools by iteratively proposing and accepting matches based on preferences.
Hard,What is the purpose of the Knuth-Morris-Pratt (KMP) algorithm in pattern matching?,The Knuth-Morris-Pratt (KMP) algorithm efficiently searches for occurrences of a pattern within a text by preprocessing the pattern to create a partial match table which allows skipping redundant comparisons.
Hard,How does the Kruskal's algorithm find the Minimum Spanning Tree (MST)?,Kruskal's algorithm finds the MST by sorting all edges of a graph by weight and adding the smallest edge to the MST using a union-find data structure to avoid cycles and ensure connectivity.
Hard,Describe the concept of a Palindromic Tree.,A Palindromic Tree is a data structure used to efficiently find and store all distinct palindromic substrings of a given string supporting queries and modifications.
