Question,Answer
What are your achievements in life?,"""My greatest achievement so far in my career would probably be winning the Manager of the Year award last year."" | ""My biggest accomplishment is overcoming my fear of failure. It gives me a complete sense of living and makes me more confident."" | ""I experienced my greatest achievement when I worked as a website manager for an entertainment outlet. My team was under pressure and the website was struggling at the time, and I was tasked with forming a strategy to increase traffic."
What is your objective in life?,"""My short-term goal is to work in a reputed organization like yours where I can enhance my technical skills and knowledge.My long-term goal is to see the company at a topmost position where I am one of the people responsible for that."" | ""My goal is to become a successful person and make my family proud of me."""
What are your strengths?,"My main strengths are the ability to use my initiative to take on challenges. I am always proactive at what I do, and that keeps my mind stimulated and focused. | My greatest strengths would be myintelligenceandthoughtfulness. I believe that in every work environment you need to process every step and be detailed in your work. | Mytime managementskills are excellent, and I'm organized, efficient, and take pride in excelling at my work. | I always understand the value of time, and I am always able to innovate. I listen to advice from others. | My greatest strength is my ability to focus on my work. I'm not easily distracted, and this means that my performance is very high. | My biggest strength is myConfidence. Apart from that, I amHardworking, self-motivatedwith a positive attitude towards my career and my life. If I have a problem, then I think its an opportunity for me to express my ability."
What are your weaknesses?,"You can say, ""I used to be very disorganized, always forgetting assignments and birthdays. But I managed to work out a computerized system of to-do lists and reminders that keep me on top of everything."" | ""I am a straightforward person, and I cannot say no when someone asks me for help."""
What are your hobbies?,"My hobbies are dancing, Internet surfing, playing Chess, listening to music, watching the news channel. In my spare time, I like to read news on my phone and traveling to my hometown. Thank you for giving this opportunity to introduce myself."
"Explain, how would you be an asset to this organization?","""To become an asset for an organization, we have to punctual, dedicated, quickly adapt of the environment and positive working attitude I have all of these qualities so I will prove an asset for this company."" | ""As I'm a fresher, I'll be passionate about my work, and if given a chance I'll be ready to expose myself into different sectors of work into the industry, and would be faithful to the company always."" | ""My skill in XYZ company is outstanding. I have earned a lot of certificates and awards from my past employers. As an employee, I can handle pressure with ease and can work with minimal supervision."""
Would you lie for the company?,"""It depends on the situation if my lie creates a positive impact on the company and It was useful for many people, then I will lie."" | ""Probably I would say no for a lie. But if condition persists that my lie will help thousands of persons and it is not giving any impact to other persons, then I will agree with the lie. My one lie results lot of success and happiness without hurting others rights then I expect to do this."""
Are you applying for other jobs also?,"As you know, I would like to work as a software developer. Beyond your company, I have also applied to XYZ company and ABC company. This answer is more specific."
How do you get to know about our company?,I get to know about your company from several online websites.
What does success mean to you?,"If I feel I am making a difference working with a team of people to make a more profitable company. It is a success for me. | If I put a smile on someone face and make him happy, it is a success for me."
Describe yourself in one word?,"Original, genuine, logical, incredible, focused, curious, active, quick, balanced, achiever, etc."
What is the difference between smart work and hard work?,"Smart work and hard work are related to each other. Without being a hard worker, we can't be a smart worker. Smart work comes from the hard work. That means everyone has to specialize in his work to become a smart worker. So, all of us have to do hard work to achieve smart work.So hard work increases your accuracy, and smart work increases accuracy as well as efficiency."
Just imagine that you have enough money to retire right now. Would you?,"""No sir, I don't think so. I am a professional, and I love my work, so there is no question to leave my work. Yes, it may be that I would take a break to spend quality time with my family."""
Don't you think that you are overqualified for this position?,"""I think I am qualified for this post because I am just a beginner and have lots more to learn. I think qualification is not only a matter of theoretical knowledge or results; it also depends on practical knowledge and learning. When I get practical knowledge, I will consider myself just a well-qualified not overqualified. Because learning never ends."""
Do you have any blind spot?,"""I would say everyone has blind spots and I would too that's why I believe in teamwork because when you are a team, you can point out the blind spots of other people, and they will also do the same for you."""
"How do you handle stress, pressure, and anxiety?","I believe in working in a planned way and finishing my work regularly. I always react to situations, rather than to stress. In this way, I handle the situation and don't take the stress. | I go to the gym regularly and do work out. In this way, I remove my stress. I believe that physical exercise is a great stress reducer."
What is the disappointment in your life?,"""The greatest disappointment in my life so far as when my laptop had stolen, and I had lost all my important data. I remember that I had to work hard for the next 10 days to redo all my work to make sure to submit on time."" | ""Sir, I don't feel that I have faced such type of situation."""
What makes you angry?,"""Sir, I am not a short-tempered person, but I feel a bit of annoyance when someone disturbs me in my work without a genuine reason. Although I am an even-tempered person, when I get angry, I try to channel my negative feeling in my work."""
What was the most difficult decision you have made in your past life?,"After completing my graduation, the toughest decision is whether to go for higher studies or do a job. Then I chose the job because getting trained is better than educated and it was also the demand of that time. | My toughest decision was to take admission in B.tech. I belong to a middle-class family, and my father was not in favor of taking admission, but I convinced him, and today he is very happy. | Before some time when I had to choose between joining a group of employees protesting some issue, and staying away from the issue. I ended up being a mediator between our immediate supervisor and employees, and I am glad I made that decision because it all ended well and without further conflicts in the company."
How did you know about this position/ vacancy?,"I have carefully studied both the job description and the person specification, so I am fully aware of the duties and responsibilities of this role."
What was the biggest mistake of your life?,"I think the worst mistake I ever made at work was in my first ever job - five years ago now. A more senior member of the team seemed to take an instant dislike to me from the start, and one day she was particularly unpleasant to me in front of several colleagues.Later on, I was talking to one of those colleagues who was, I thought, attempting to console me. Angry and hurt, I foolishly vented my feelings and told her what I thought of the lady in question. I was naturally shocked to find out that she went on to tell everyone what I had said and this certainly didn't help my relationship with the team member who was causing me problems.Rather than let the situation carry on, I chose to have a quiet word with this lady to find out what her problem was with me and to see if we could put it behind us. It turned out it was nothing personal; she just resented the fact that a friend of hers had also been interviewed for my position and had been turned down. Once we had got matters out into the air, her behavior changed, and we got on quite well after that. However, I certainly learned a lot from experience. I learned that careful communication is vital in managing interpersonal relationships and that if I have a problem with someone, it's always best to talk it over with them rather than with someone else."
How do you deal with an angry or irritated customer?,"I would try to find out exactly what the problem was, and evaluate if there was something I could do to make it right. | I would ask the customer to explain his problem and carefully listen to him. After that, I do my best to solve his problem. If that problem is not regarding my work area, I spoke to someone who could help him immediately."
How do you deal with an angry or irritated customer?,"I would try to find out exactly what the problem was, and evaluate if there was something I could do to make it right. | I would ask the customer to explain his problem and carefully listen to him. After that, I do my best to solve his problem. If that problem is not regarding my work area, I spoke to someone who could help him immediately."
What is your greatest fear?,"Before some time, public speaking has been a challenge for me. I was very nervous and hesitate while giving any presentation, so I started taking public speaking seminars to improve it. Now, I still get nervous before pitches, but I have learned how to remain calm and get the job done right. | As you know that I have never worked in my life and this is my first job, my inexperience is my weakness. But I beg to differ. I am confident and a fast learner. I assure you that I will perform my job without carrying any pre-conceived notions regarding how I feel."
Explain the difference between group and team?,"There is only one difference between the group and the team. That is unity. Any set of people who stand together without any purpose or goal can be called as Group. Whereas, when more than 2 people work towards a common goal, can be called as a Team. For example: If you assign work to a group, then the work will be divided between the members and each member will work out their part, without any coordination with the other members of the group. On the other hand, if you assign a project to a team, they will collectively take the responsibility and work together with the goal to achieve the desired result. In a team, the members will cooperate and coordinate with each other at all times."
What will you do if you don't get this position?,"I have high hopes that I will be selected. In case if I will not select, I will continue to look for another job in the same field that will fit my schedule and goals. | If I don't get this job, I will use this experience to reflect my weakness and try my best to improve on them for the future opportunities along the way."
Would you like to relocate or travel for the company?,"I will definitely consider traveling if the opportunity is appropriate, rewarding and feasible. I don't think that I will have any problem with the traveling involved. | Yes, as part of growing up. I used to travel a lot as my father is an ex-serviceman hence occasionally he used to be posted throughout the country. Though I would prefer my city as it is my birthplace and all my friends and relatives are there, but at the same time, I am ok with relocating."
Is there anything which makes you different from other candidates?,"Although, I am not familiar with the others whom you are interviewing for this position. I am sure many talented people applying for the job. But because of my background and the problem-solving skills, I considered myself to be a strong candidate for this position. | I understand that success is not always guaranteed but there is still hope, and I never lose the faith, whether I succeed or not. I think this power makes me stand alone from all other candidates. | I have exceptional organizational skills. In my last job, I created a project which was termed as quite creative by the clients. I think my technical skills make me stand alone from all other candidates."
Describe the three things that are most important for you in a job?,"According to me, Honesty, Loyalty, and determination to achieve my team's target are the three important things in a job. | According to me, Professionalism, growth and a healthy work-life balance are the three important things in a job."
What are your expectations from the company?,I have always wanted to work with an organization which provides a very comfortable and home like work environment. I would like to work in the company where I can get the opportunity to learn and enhance my skill to become a better professional in the future.
"On a scale of one to ten, rate me as an interviewer?","Sir, I'm not in the position to rate you as an interviewer. Anyway, I'm not going to disappoint you. As an interviewer you've fulfilled your job, So, I can give you 10 out of 10. But I'll give you 9/10 as there should always be a scope to increase our skills which will create an interest in learning the things. Thank you very much for giving me this wonderful opportunity. | Thank you for giving me such an opportunity, but for sure I am not the person to rate you. As it is obvious that your position is highly reputed and you have been chosen to undergo this process that shows your excellence at this place, but still I have to answer this question so honestly, it would be 9/10 as no one is perfect and we always leave room for improvement."
Who is your role model? What have you incorporated into your life from him/her?,"The role model of my life is my mother. Whenever I am down my mother helps me to push my limits, and she always keeps me on the track. She was scolding me whenever I do something wrong. She is everything for me, I still got inspired from her, how she manages every problem in every situation."
Do you have any questions for me?,"Thank you for giving me this opportunity. After my overall performance till now if I got selected what I need to improve and if I'm not selected how can I succeed further. Can you give any advice sir? | First of all thank you very much, for being so much polite & friendly to me throughout the session, that I can express myself so easily. Can you please tell me that what are the qualities you are expecting from fresher like us & I want to know, if am selected, then what should I improve before I join your company, if I am not selected, your opinion will help me to the upcoming interview."
